Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
2,1593640018302,01/07/2020 21:46:58,1593640016906,-5,01/07/2020 16:46:56,21059,7,questionnaire-t1fh,,5861748,5efb498f9baaf30838106c5d,1649883,,complete,,5efd03e7bb841214496f3e57,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x969,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order2,consent,Yes
3,1593640018474,01/07/2020 21:46:58,1593640016907,-5,01/07/2020 16:46:56,21059,7,questionnaire-t1fh,,5861748,5efb498f9baaf30838106c5d,1649883,,complete,,5efd03e7bb841214496f3e57,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x969,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order2,consent-quantised,1
4,1593640018474,01/07/2020 21:46:58,1593640016907,-5,01/07/2020 16:46:56,21059,7,questionnaire-t1fh,,5861748,5efb498f9baaf30838106c5d,1649883,,complete,,5efd03e7bb841214496f3e57,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x969,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order2,END QUESTIONNAIRE,8751
1,1593640170581,01/07/2020 21:49:30,1593640170445,-4,01/07/2020 17:49:30,21059,7,questionnaire-t1fh,,5861766,5ef5624543a45e1c70218c71,1649892,,complete,,5efd04dda9d6491364ec3296,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,2560x1440,2560x1306,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593640283906,01/07/2020 21:51:23,1593640283832,-4,01/07/2020 17:51:23,21059,7,questionnaire-t1fh,,5861766,5ef5624543a45e1c70218c71,1649892,,complete,,5efd04dda9d6491364ec3296,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,2560x1440,2560x1306,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
3,1593640284031,01/07/2020 21:51:24,1593640283833,-4,01/07/2020 17:51:23,21059,7,questionnaire-t1fh,,5861766,5ef5624543a45e1c70218c71,1649892,,complete,,5efd04dda9d6491364ec3296,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,2560x1440,2560x1306,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent-quantised,1
4,1593640284031,01/07/2020 21:51:24,1593640283833,-4,01/07/2020 17:51:23,21059,7,questionnaire-t1fh,,5861766,5ef5624543a45e1c70218c71,1649892,,complete,,5efd04dda9d6491364ec3296,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,2560x1440,2560x1306,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,113389
1,1593640246342,01/07/2020 21:50:46,1593640407980,-5,01/07/2020 16:53:27,21059,7,questionnaire-t1fh,,5861770,5ba2de5c962418000113e3c8,1649895,,complete,,5efd052c7d413c12d619ea77,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1536x750,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1593640251902,01/07/2020 21:50:51,1593640413569,-5,01/07/2020 16:53:33,21059,7,questionnaire-t1fh,,5861770,5ba2de5c962418000113e3c8,1649895,,complete,,5efd052c7d413c12d619ea77,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1522x750,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent,Yes
3,1593640252074,01/07/2020 21:50:52,1593640413570,-5,01/07/2020 16:53:33,21059,7,questionnaire-t1fh,,5861770,5ba2de5c962418000113e3c8,1649895,,complete,,5efd052c7d413c12d619ea77,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1522x750,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent-quantised,1
4,1593640252074,01/07/2020 21:50:52,1593640413570,-5,01/07/2020 16:53:33,21059,7,questionnaire-t1fh,,5861770,5ba2de5c962418000113e3c8,1649895,,complete,,5efd052c7d413c12d619ea77,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1522x750,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,5590
1,1593640710314,01/07/2020 21:58:30,1593640711104,-5,01/07/2020 16:58:31,21059,7,questionnaire-t1fh,,5861803,5d901b10d7a21a001d635d12,1649908,,complete,,5efd06e5c08e4413e2a91b25,computer,Desktop or Laptop,Windows 8.1,Firefox 77.0,1920x1080,1920x947,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,BEGIN QUESTIONNAIRE,
2,1593640874956,01/07/2020 22:01:14,1593640875445,-5,01/07/2020 17:01:15,21059,7,questionnaire-t1fh,,5861803,5d901b10d7a21a001d635d12,1649908,,complete,,5efd06e5c08e4413e2a91b25,computer,Desktop or Laptop,Windows 8.1,Firefox 77.0,1920x1080,1903x947,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent,Yes
3,1593640875143,01/07/2020 22:01:15,1593640875447,-5,01/07/2020 17:01:15,21059,7,questionnaire-t1fh,,5861803,5d901b10d7a21a001d635d12,1649908,,complete,,5efd06e5c08e4413e2a91b25,computer,Desktop or Laptop,Windows 8.1,Firefox 77.0,1920x1080,1903x947,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent-quantised,1
4,1593640875143,01/07/2020 22:01:15,1593640875447,-5,01/07/2020 17:01:15,21059,7,questionnaire-t1fh,,5861803,5d901b10d7a21a001d635d12,1649908,,complete,,5efd06e5c08e4413e2a91b25,computer,Desktop or Laptop,Windows 8.1,Firefox 77.0,1920x1080,1903x947,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,END QUESTIONNAIRE,164343
1,1593647135495,01/07/2020 23:45:35,1593647135260,-5,01/07/2020 18:45:35,21059,7,questionnaire-t1fh,,5862323,5eb16658744ab3253ba26252,1650125,,complete,,5efd200f8f20d516614fc4dd,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 81.0.4044.122,1440x900,1440x821,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order2,BEGIN QUESTIONNAIRE,
2,1593647163396,01/07/2020 23:46:03,1593647163314,-5,01/07/2020 18:46:03,21059,7,questionnaire-t1fh,,5862323,5eb16658744ab3253ba26252,1650125,,complete,,5efd200f8f20d516614fc4dd,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 81.0.4044.122,1440x900,1425x821,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order2,consent,Yes
