Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
5,1589727537107,17/05/2020 14:58:57,1589727535721,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-ethnicity-2,Not Hispanic or Latino
6,1589727537107,17/05/2020 14:58:57,1589727535722,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-2,Asian
7,1589727537107,17/05/2020 14:58:57,1589727535722,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-race-5,White
8,1589727537107,17/05/2020 14:58:57,1589727535722,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness,Ambidextrous
9,1589727537107,17/05/2020 14:58:57,1589727535722,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-handedness-quantised,3
10,1589727537107,17/05/2020 14:58:57,1589727535722,-7,17/05/2020 07:58:55,17840,4,questionnaire-d7os,,4989008,5d8a64630ffb9c001746ca2c,1415030,,complete,,5ec14f4c706cd81c34b5de67,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1903x1007,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,31935
1,1589727605930,17/05/2020 15:00:05,1589727605791,-7,17/05/2020 08:00:05,17840,4,questionnaire-d7os,,4989034,59f226a9d6380600018b2923,1415027,,complete,,5ec14f3b8eb96302dc9003a0,computer,Desktop or Laptop,Mac OS 10.9,Firefox 76.0,1440x900,1440x772,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1589727652015,17/05/2020 15:00:52,1589727651894,-7,17/05/2020 08:00:51,17840,4,questionnaire-d7os,,4989034,59f226a9d6380600018b2923,1415027,,complete,,5ec14f3b8eb96302dc9003a0,computer,Desktop or Laptop,Mac OS 10.9,Firefox 76.0,1440x900,1440x772,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-accent-7,Do not know
3,1589727652218,17/05/2020 15:00:52,1589727651897,-7,17/05/2020 08:00:51,17840,4,questionnaire-d7os,,4989034,59f226a9d6380600018b2923,1415027,,complete,,5ec14f3b8eb96302dc9003a0,computer,Desktop or Laptop,Mac OS 10.9,Firefox 76.0,1440x900,1440x772,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-accent-text,
4,1589727652218,17/05/2020 15:00:52,1589727651897,-7,17/05/2020 08:00:51,17840,4,questionnaire-d7os,,4989034,59f226a9d6380600018b2923,1415027,,complete,,5ec14f3b8eb96302dc9003a0,computer,Desktop or Laptop,Mac OS 10.9,Firefox 76.0,1440x900,1440x772,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order4,response-sex-1,Female
